BRION	Effort	44	13	31	29.5%	0.41	2.39	5.32	2.4	28.5	0.86	7.5	227	4.6k	139.5	69.4%	5%	13.4%	10	Lulu, Nami, Karma
BRION	Hena	44	13	31	29.5%	2.23	2.14	2.77	2.34	306.77	9.22	13.4	401	18.1k	544.6	60.6%	27%	23.6%	9	Zeri, Lucian, Varus
BRION	Karis	44	13	31	29.5%	2.45	2.18	3	2.5	285.57	8.58	12.6	379	17k	511.3	66.1%	29.8%	22.3%	12	Azir, Akali, Viktor
BRION	Morgan	44	13	31	29.5%	1.59	2.45	2.7	1.75	281.09	8.44	12.5	374	13.3k	399.5	52.1%	19.3%	22.1%	10	Renekton, Gnar, K'Sante
BRION	UmTi	44	13	31	29.5%	1.57	2.77	4.64	2.24	181.93	5.47	10.5	315	10.7k	320.8	75.2%	19%	18.6%	10	Vi, Sejuani, Lee Sin
Dplus KIA	Canna	40	26	14	65%	2.3	1.63	4.08	3.92	268.15	8.45	12.3	388	14.9k	468.8	52.5%	18.9%	21.3%	9	Gnar, Renekton, Jayce
Dplus KIA	Canyon	40	26	14	65%	2.15	1.68	6.1	4.93	177.33	5.59	10.5	332	10k	316.1	67.9%	17.7%	18.2%	10	Lee Sin, Sejuani, Maokai
Dplus KIA	Deft	40	26	14	65%	4.15	1.4	4.47	6.16	319.05	10.05	14.6	460	21.2k	667.4	71%	34.2%	25.2%	12	Lucian, Sivir, Varus
Dplus KIA	Kellin	40	26	14	65%	0.7	1.43	9.1	6.88	20.4	0.64	7.8	245	7.2k	225.4	80.7%	5.8%	13.4%	12	Nami, Karma, Yuumi
Dplus KIA	ShowMaker	40	26	14	65%	2.85	1.45	5.15	5.52	278.25	8.77	12.6	398	19.3k	608.5	65.8%	23.5%	21.8%	15	LeBlanc, Sylas, Taliyah
DRX	BeryL	44	12	32	27.3%	0.45	3.14	5.02	1.75	31.59	1.02	7.2	231	6.4k	206.1	69.1%	5.7%	13.8%	15	Lulu, Nami, Karma
DRX	FATE	44	12	32	27.3%	2.05	2.2	2.57	2.09	264.8	8.51	11.4	367	17k	546.6	58.2%	25.8%	21.9%	14	Sylas, Azir, Viktor
DRX	Rascal	44	12	32	27.3%	1.77	2.95	2.84	1.56	261.68	8.41	11.9	382	14.3k	458.4	58.2%	22.3%	22.7%	17	Jax, K'Sante, Renekton
DRX	deokdam	38	11	27	28.9%	2.21	2.26	3	2.3	278.21	8.94	12.4	399	15.9k	510.4	64.5%	27.4%	23.7%	12	Zeri, Varus, Ezreal
DRX	Croco	29	6	23	20.7%	1.41	3.1	3.9	1.71	150	4.87	9.1	295	10.3k	334.7	70.6%	18.8%	17.9%	8	Maokai, Vi, Sejuani
